Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.patient-care.json	5790	-	0	0	0	0	0	0	6	376	0	0	0	0	0	0	0	1	0	0	78	143	0	1	0	4	0	1
fsh-generated/resources/StructureDefinition-be-care-plan.json	5726	24	1	0	0	11	0	86	0	68	0	0	1	0	0	0	0	2	0	0	225	2618	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-be-careteam.json	4207	21	0	0	0	0	0	23	0	44	0	0	0	0	0	0	0	0	0	0	142	423	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-be-communication.json	6062	20	0	0	0	0	0	49	0	74	0	0	0	0	0	0	0	1	0	0	138	443	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-be-goal.json	1637	19	1	0	0	0	0	43	0	34	0	0	0	0	0	0	0	0	0	0	106	330	0	0	0	9	0	4
fsh-generated/resources/StructureDefinition-be-model-careplan.json	7671	21	0	0	0	0	0	32	0	30	0	0	0	0	0	0	0	0	0	0	96	303	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-be-model-careteam.json	5148	21	0	0	0	0	0	28	0	14	0	0	0	0	0	0	0	0	0	0	66	238	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-be-model-communication.json	5309	12	0	0	0	0	0	29	0	13	0	0	0	0	0	0	0	1	0	0	72	180	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-model-goal.json	2030	3	0	0	0	0	0	21	0	7	0	0	0	0	0	0	0	0	0	0	27	105	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-be-model-task.json	2537	3	0	0	0	0	0	21	0	8	0	0	1	0	0	0	0	0	0	0	30	90	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-task.json	1486	3	0	0	0	0	0	58	0	21	0	0	0	0	0	0	0	0	0	0	123	641	0	0	0	7	0	1
