"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"be-model-careplan","be-model-careplan","","","",0,*,"","","","null {[]} {[]}
","BeModelCarePlan","Logical model for Care Plan.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"be-model-careplan.identifier","be-model-careplan.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiers assigned to this care plan","Identifiers assigned to this care plan","","","","","","","","","",,,,,"",,,,"be-model-careplan.identifier",0,*,"",""
"be-model-careplan.name","be-model-careplan.name","","","",0,1,"","","","string {[]} {[]}
","Human-readable name for the care plan","Human-readable name for the care plan","","","","","","","","","",,,,,"",,,,"be-model-careplan.name",0,1,"",""
"be-model-careplan.category","be-model-careplan.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Type of plan","Type of plan","","","","","","","","","",,,,,"",,,,"be-model-careplan.category",0,*,"",""
"be-model-careplan.basedOn","be-model-careplan.basedOn","","","",0,*,"","","","Reference {[]} {[]}
","Care plans that this care plan is based on","Care plans that this care plan is based on","","","","","","","","","",,,,,"",,,,"be-model-careplan.basedOn",0,*,"",""
"be-model-careplan.partOf","be-model-careplan.partOf","","","",0,*,"","","","Reference {[]} {[]}
","Care plans that this care plan is part of","Care plans that this care plan is part of","","","","","","","","","",,,,,"",,,,"be-model-careplan.partOf",0,*,"",""
"be-model-careplan.status","be-model-careplan.status","","","",0,1,"","","","code {[]} {[]}
","status of the care plan","status of the care plan","","","","","","","","","",,,,,"",,,,"be-model-careplan.status",0,1,"",""
"be-model-careplan.description","be-model-careplan.description","","","",0,1,"","","","string {[]} {[]}
","Description of the care plan","Description of the care plan","","","","","","","","","",,,,,"",,,,"be-model-careplan.description",0,1,"",""
"be-model-careplan.instantiates","be-model-careplan.instantiates","","","",0,*,"","","","Reference {[]} {[]}
","Protocol or definition that is instantiated by this care plan","Protocol or definition that is instantiated by this care plan","","","","","","","","","",,,,,"",,,,"be-model-careplan.instantiates",0,*,"",""
"be-model-careplan.subject","be-model-careplan.subject","","","",0,1,"","","","Reference {[]} {[]}
","Who care plan is for","Who care plan is for","","","","","","","","","",,,,,"",,,,"be-model-careplan.subject",0,1,"",""
