Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.patient-care.json	5790	-	0	0	0	0	0	0	5	409	0	0	1	0	0	0	0	0	0	0	79	73	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-be-care-plan.json	5726	22	1	0	1	1	0	82	0	74	0	0	0	0	0	0	0	2	0	0	225	2546	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-be-careteam.json	4207	20	0	0	0	0	0	17	1	40	0	0	0	0	0	0	0	1	0	0	108	485	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-be-communication.json	6279	19	0	0	0	0	0	35	0	320	0	0	0	0	0	0	0	0	0	0	121	532	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-be-goal.json	1926	17	0	0	0	0	0	45	0	29	0	0	0	0	0	0	0	1	0	0	102	388	0	0	0	3	0	2
fsh-generated/resources/StructureDefinition-be-model-careplan.json	7671	19	0	0	0	0	0	31	0	20	0	0	0	0	0	0	0	0	0	0	113	252	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-be-model-careteam.json	5148	20	0	0	0	0	0	28	0	18	0	0	1	0	0	0	0	0	0	0	97	176	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-model-communication.json	5309	20	0	0	0	0	0	29	0	28	0	0	0	0	0	0	0	0	0	0	66	173	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-model-goal.json	2030	4	1	0	0	0	0	20	0	14	0	0	0	0	0	0	0	0	0	0	39	86	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-be-model-task.json	2513	3	0	0	0	0	0	20	0	10	0	0	0	0	0	0	0	0	0	0	45	93	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-task.json	1979	4	0	0	0	0	0	60	0	24	0	0	0	0	0	0	0	1	0	0	142	526	0	0	0	4	0	1
